,Question,Answer,Class
1685,thresholddeductible limit consist single claim multiple claim,"Threshold/ deductable limit is an aggregate deductible which the customer has to pay either from his pocket or through other Mediclaim, beyond aggregate deductible (crossed in single claim or in multiple claims in a policy year) full claim amount will be paid by HDFC Ergo General Insurance. Example-1: Single Claim in a policy year Deductible Sum Insured in HDFC Ergo General Insurance Insured Super Top up Policy Claim amt assessed Deductible Exhaustion Balance Deductible Claim amt payable by other policy / saving Claim amt payable by HDFC Ergo General Insurance Insured Super Top up Policy At inception 200,000 800,000 0 0 200,000 0 0 Claim 1 200,000 800,000 10,000,00 2,00,000 0 2,00,000 8,00,000 Example-2: Multiple Claims in a policy year Deductible Sum Insured in HDFC Ergo General Insurance Insured Super Top up Policy Claim amt assessed Deductible Exhaustion Balance Deductible Claim amt payable by other policy / saving Claim amt payable by HDFC Ergo General Insurance Insured Super Top up Policy At inception 200,000 800,000 0 0 200,000 0 0 Claim 1 200,000 800,000 150,000 150,000 50,000 150,000 0 Claim 2 200,000 800,000 300,000 50,000 0 50,000 250,000 Claim 3 200,000 800,000 550,000 0 0 0 550,000 View more",3
1686,claim lakh pay hdfc ergo general insurance,Whatever is over and above the threshold limit will be paid.,3
1687,difference burglary theft larceny,Burglary is when there is forceful entry in the premises in order to rob. Theft is when there is a robbery without any evidence of forceful entry in the premises. Larceny is when a known person on the premises has robbed or stolen the insured’s belongings.,3
1688,happen home insurance claim register,The surveyor contacts the customer in 48 hours. The claim form is sent to the customer’s correspondence address within 7 working days.,3
1689,offer discount home insurance,"Yes, we do. The discounts available are: 24 hour security guard – 5% Burglar Alarm – 5% Both – 15%",3
1690,need children plan,"As a parent, your priority is your child’s future and being able to meet their dreams and aspirations. Providing a good education, establishing a professional career or even a modest wedding is becoming an expensive proposition with each passing year. Costs are increasing fast. Just imagine how much you will need when your young children tale these important steps in life in the future. With our Children’s Plans, you can start building regular savings today to help you secure your child’s immediate and future needs even when you are not around.",3
1691,able save tax children plan,"Yes, you will be eligible for tax benefits under Section 80C and Section 10(10D) of the Income Tax Act, 1961, subject to the provisions contained therein (tax benefits are subject to change in the tax laws. Please refer to the Tax Benefits section for more details).",3
1692,factor consider buy children plan,"Consider the inflated costs of a normal educational course or any other requirements that your child might have in the future. This should be your targeted savings amount, which you would want to receive when the policy matures. Ideally, the term you should choose for the plan is when your child is in a position to require the money. Thereafter, you need to sit with your Relationship Manager to work out the amount to be invested and the level of protection required.",3
1693,hdfc sl offer unit link plan entire range children plan,"Yes, the plan name is HDFC Young star super premium plan.",3
1694,buy plan child,"When purchasing a Life Insurance plan, it is important to remember that its main purpose is to replace an income that is lost in case of the unfortunate demise of the chief bread winner of the family (Life Assured). A child rarely has an income and therefore has no reason to be insured. If the Insurance Plan is taken in name of the child, the plan gets derailed in case of the unfortunate demise of the parent. Thus, the very objective of any Children’s Plan is undermined if the plan is acquired in the child’s name. Therefore, as far as possible, make sure that you, as a parent, are the Life Assured and the nominee or the beneficiary is your child.",3
1695,limit pay term available plan,"With HDFC Life ClassicAssure Plus, pay premiums for 7 years for policy terms of 10 and 15 years or pay premiums for 10 years for policy term of 15 and 20 years.",3
1696,automatic conversion vest benefit annuity happen,Policyholder needs to purchase an annuity plan – by filling the annuity proposal form. Submit all relevant documents and annuity payout will occur as per the timeline.,3
1697,additional servicing charge,"Rs. 250 per request on. Premium collection related services such as cheque pick-up/premium payment via outstation cheques/drop-box deposit. Cheque bounce/cancellation of cheque. Request for duplicate documents such as duplicate premium receipt, duplicate policy document. Cancellation/failure of ECS/SI due to an error at client’s end or fresh request of ECS / SI mandate initiated by client. Premiums paid via credit card, the company may charge up to 2% of installment premium depending on the credit card used",3
1698,vest age postpone prepone,"No, policy term can’t be changed thus vesting age can’t be pre or postponed",3
1699,choose unit link non unit link plan,"If your financial profile does not allow you to take risks through exposure to equity, bonus-based endowment plans are the most suitable for you. If that is not the case, unit-linked plans are the ideal vehicle for you to plan for your family’s future financial needs. Unit-linked plans are associated with transparent charging structure and certain flexibility, besides possessing the potential to deliver a higher amount on maturity.",3
1700,mean switch fund,"Switching between funds implies that the policy holder can transfer his investments from one fund to another fund under the plan. This is usually done to change one’s investment pattern or strategy based on changes in the financial markets. For instance, one may want to switch from an equity based fund to a debt fund when the equity markets are on a downslide.",3
1701,surrender benefit plan,"If you surrender before completion of the 5th policy year, your Fund Value less applicable charges will be moved to If you surrender before the end of the 5 years from commencement of the policy, Your fund value (as on date of surrender) will be moved to the ‘Discontinued Policy Fund’ and will earn a minimum guaranteed return as specified by IRDA. The minimum guaranteed interest rate applicable to the ‘Discontinued Policy Fund’ shall be 4% p.a. Such rate may be changed in the future if the IRDA revises the minimum rate for discontinued policies. A Fund Management Charge of 0.50% p.a. will be levied on the ‘Discontinued Policy Fund’. The Discontinued Policy Fund (SFIN:ULIF05110/03/11DiscontdPF101) shall be a unit fund which will invest 100% of assets in Government Securities and/or Money Market Instruments. Your fund value as held in the ‘Discontinued Policy Fund’ will be payable to you at end of the 5th policy year. In case of the death of the Life Assured or Policyholder, before the payment of the surrender benefit, the amount in the Discontinued Policy Fund will be paid out immediately. If you surrender your policy after completion 5 years from commencement of the policy, your fund value will be paid to you. Once any surrender payment has been made, the policy terminates and no further benefits are payable.",3
1702,happen premium pay,"If you have not paid your premium by the expiry of the grace period, you will have following options: to revive the Policy within a period of 2 years from the date of discontinuance, or to completely withdraw from the Policy without any risk cover, or to convert the policy into paid-up policy (available on discontinuance after completion of the 5 policy years) If you do not communicate to us on the above options, the following treatment will be applicable Discontinuance before completion of 5 years from commencement of the policy: Fund Value less applicable charges will be moved to ‘Discontinued Policy Fund (DPF)’.The proceeds from DPF will be paid out upon the completion of the lock-in period. Discontinuance on and after completion of the 5 years from commencement of the policy : Fund Value will be paid out to you. You have the option to revive a discontinued policy within two consecutive years from the date of discontinuance of the policy, subject to payment of all due & unpaid premiums and our underwriting policy",3
1703,happen premium pay,"If you have not paid your premium by the expiry of the grace period, you will have following options: to revive the Policy within a period of 2 years from the date of discontinuance, or to completely withdraw from the Policy without any risk cover, or to convert the policy into paid-up policy (available on discontinuance after completion of the 5 policy years) If you do not communicate to us on the above options, the following treatment will be applicableDiscontinuance before completion of 5 years from commencement of the policy: Fund Value less applicable charges will be moved to ‘Discontinued Policy Fund (DPF)’.The proceeds from DPF will be paid out upon the completion of the lock-in period.Discontinuance on and after completion of the 5 years from commencement of the policy : Fund Value will be paid out to you You have the option to revive a discontinued policy within two consecutive years from the date of discontinuance of the policy, subject to payment of all due & unpaid premiums and our underwriting policy",3
1704,mean profit plan,"‘With Profits’ plans are plans where the premiums are invested in the ‘with profit’ This fund invests in a variety of assets to earn returns on your policy, which are shared with the policyholder’s in the form of bonuses which are declared annually. And once declared these bonuses are guaranteed.",3
1705,hdfc life new immediate annuity plan,"The HDFC Immediate Annuity is a contract that uses your capital to provide you with a guaranteed gross income throughout your lifetime or over a period of your choice. This is the perfect way to plan for your expenses after your retirement. This means you can plan your life the way you want it to be, safe in the knowledge that your gross income will not fall during the period you have selected. This is the perfect way to plan for your expenses after your retirement. The HDFC Immediate Annuity plan offers a number of options to meet all your income needs.",3
1706,need health insurance,"Medical emergencies come un-announced. Cost of healthcare can be enormous. In the absence of health insurance, this expense has to be borne out of pocket. This has an adverse impact on the financial situation of the family. World over long term illnesses are known to be the reason behind a family’s slide down the social ladder. Health Insurance cover provides the much needed financial assistance and will ensure that you access healthcare facilities when you need them the most without worrying about the medical expenses.",3
1707,tax benefit,"As per prevailing income tax laws, HDFC Life Health Assure Plan is eligible for Tax Benefits u/s 80D of Income Tax Act.",3
1708,buy hdfc life health assure plan,"HDFC Life Health Assure Plan provides reimbursement for unforeseen medical expenses and it comes with following unique features: Premium guarantee for three years i.e. premium does not change even after a claim has been made. If there is no claim under the policy , then your cover will be doubled after 2 claim-free years under multiplier benefit Plan offers Guaranteed Lifetime Renewability subject to prevailing premium rates",3
1709,tax save,"As per Section 80D, the premium paid for medical insurance is deductible from an individual’s income up to Rs. 15,000 per year. However, in case of a Senior Citizen (60 years and above) the applicable limit is Rs. 20,000 per year.If the medical insurance premium has been paid for one’s parents, an additional deduction of Rs. 15,000 can be claimed under section 80D every year. If one’s parents are Senior Citizens, an additional amount of Rs. 20,000 can be claimed. Thus, a policy holder can deduct up to Rs. 35,000 from his taxable income for medical insurance premiums paid.Premiums paid in cash will not qualify for tax benefit. Note: You cannot claim premiums paid for your in-laws or siblings (brothers and sisters). View more",3
1710,policyholder list network hospital,"The list of Network Hospitals is enclosed along with the Policy Document. The Policyholder can also visit the HDFC Life website, www.hdfclife.com, for the most updated list.",3
1711,plan acquire guarantee surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid for premium payment term of 8 years and 3 full years’ premium have been paid for premium payment term of 10 and 12 years.,3
1712,plan acquire guarantee surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided first 2 years’ premiums have been paid for premium paying term of 5 and 8 years first 3 years’ premiums have been paid for premium paying term of 10 years,3
1713,plan acquire guarantee surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid for premium payment term of 7 years and 3 full years’ premium have been paid for premium payment term of 10 years or more.,3
1714,choose option available plan,"At policy inception, based on your child’s future needs you can choose one of the three available Maturity Benefit Options. These options are: a) Aspiration: if you choose this option, you will receive a lump sum payout the end of your policy term. You can use this money to fund your child’s marriage or any other large expense.b) Academia: if you choose this option, you will receive guaranteed payouts during the last 5 policy years. The first guaranteed payout shall be higher than subsequent guaranteed payouts. You can use these payouts to fund your child’s college education in future.c) Career:if you choose this option, you will receive guaranteed payouts during the last 5 policy years. The last guaranteed payout shall be higher than previous guaranteed payouts. You can use these payouts to fund your child’s schooling or college expenses in future. Also at policy inception, based on the level of protection you need for your child’s financial planning, you can choose one of the two Death benefit options. These options are: a) Classic: in case of unfortunate demise of life assured during the policy term, the nominee receives Basic Death benefit + accrued Guaranteed Additions + accrued Bonuses, if any. After the payment of death benefit, the policy terminates.b) Classic Wavier:in case of unfortunate demise of life assured during the policy term, the nominee receives Basic Death benefit. All future outstanding premiums under the policy will be waived. The contract shall continue and the benefits as per Survival benefit and Maturity Benefit shall be available. Where Basic Death benefit is defined as higher of: Sum Assured on Death 105% of Premiums paid The Sum Assured on Death shall be the higher of: Sum Assured on Maturity 10 times Annualised Premium for entry age up to 50 years and 7 times Annualised Premium for entry age greater than 50 years",3
1715,happen case want surrender policy,"On request for surrender from you, the risk coverage will cease with immediate effect.If you surrender before the end of the 5 years from commencement of the policy, Your fund value (as on date of surrender) will be moved to the ‘Discontinued Policy Fund’ and will earn a minimum guaranteed return as specified by IRDA. The minimum guaranteed interest rate applicable to the ‘Discontinued Policy Fund’ shall be 4% p.a. Such rate may be changed in the future if the IRDA revises the minimum rate for discontinued policies. A fund management charge of 0.50% p.a. will be levied on the ‘Discontinued Policy Fund’ Your fund value as held in the ‘Discontinued Policy Fund’ will be payable to you at end of the 5th policy year In case of the death of the life assured or policyholder, before the payment of the surrender benefit, the amount in the Discontinued Policy Fund will be paid out immediately. If you surrender your policy after completion of 5 years from commencement of the policy, your fund value will be paid to you. On surrender, no additional charges will be levied.Once any surrender payment has been made the policy terminates and no further benefits are payable.",3
1716,charge policy,"Premium Allocation Charge:This is a premium-based charge. After deducting this charge from your premiums, the remainder is invested to buy units. The remaining percentage of your premium is called the Premium Allocation Rate. The Premium Allocation Rate and Premium Allocation Charge are given in the table below. Single Premium Single Premium Top-Ups Premium Allocation Rate 97.50% 99% Premium Allocation Charge 2.50% 1% Fund Management Charge (FMC): The daily unit price already includes the fund management charge of 1.35% per annum charged daily, of the fund’s value. Policy Administration Charge: The Policy Administration Charge is 0.13% per month of the total premiums paid (including any single premium top-ups).The charge will be deducted monthly, subject to a maximum charge of Rs. 500 per month. This charge will be taken by cancelling units proportionately from each of the fund(s) you have chosen. Mortality Charge:Every month a charge will be levied for providing you with the death cover in your policy. The amount of the charge taken each month depends on your age and level of cover. This charge will be taken by cancelling units proportionately from each of the fund(s) you have chosen. Miscellaneous Charges: You may be charged for Additional Servicing Request(s). Contact your Relationship Manager for further details *Statutory Charges – Service Tax and Education Cess is payable at the applicable rates for all unit linked products.",3
1717,deathbenefit plan,"In case of the Life Assured’s unfortunate demise, the nominee will receive the benefit as defined below - Death Summary of Death Benefit Before attainment of age 60 years The nominee will receive the higher of the following Sum Assured (less all withdrawals except from the top-up fund value, made during the two year period immediately preceding the date of death) The total fund value. The policy will terminate thereafter and no more benefit will be payable. On or after attainment of age 60 years The nominee will receive the higher of the following Sum Assured (less all withdrawals except from the top-up fund value made after attainment of age 58) The total fund value. The policy will terminate thereafter and no more benefit will be payable.",3
1718,plan available online,HDFC Life Click 2 Protect Plus is an offline term plan. One can buy this plan now offline as well online.,3
1719,hdfc life extra life cover important,"C2P Plus Extra Life Option, provides double the benefit in case of death due to accident.",3
1720,long family monthly income,"Under Income Option, you family would get monthly income for 15 years. Under Income Plus Option, your family would get monthly income for 10 years – level or increasing.",3
1721,plan good,"HDFC Life Click 2 Invest – ULIP, lets you enjoy market linked returns along with valuable financial protection for your family. This plan has minimal charges which help your fund value grow faster. The key features of this plan are: Minimal Charge Structure Choose from a range of 8 fund options Premium payment options of Single Pay, 5 Pay, 7 Pay, 10 Pay or Regular Pay Policy Term of 5 to 20 years Tax exemption under Sec 80C and Sec 10(10D) of IT Act, 1961",3
1722,charge applicable plan,"HDFC Life Click 2 Invest – ULIP offers a minimal charge structure as stated below: Premium Allocation Charge: Nil Policy Administration Charge: Nil Discontinuance Charge: Nil Fund Management Charge: 1.35% p.a. of the fund value, charged daily Mortality Charge: The amount of the charge taken each month depends on your age and level of cover In addition, only if you request for partial withdrawal, fund switch and premium redirection a charge of Rs 250 per request or a reduced charge of Rs 25 per request (if executed through the company’s web portal) will be charged. First 4 partial withdrawals, 4 fund switches and 4 premium redirections in a policy year are free.",3
1723,plan different ulip,HDFC Life Click 2 Invest – ULIP offers: Minimal Charge Structure Premium Payment Term options of single/5 pay/7 pay and regular pay Policy term of 5 to 20 years 8 Fund options Wide entry age range from 0 to 65 years,3
1724,family receive case unfortunate demise,"In case of the Life Assured’s unfortunate demise, the nominee will receive the higher of the following: Sum Assured, Fund Value, 105% of the premium(s) paid.",3
1725,protection cover plan,"Yes. In case of the Life Assured’s unfortunate demise, the nominee will receive the higher of the following: Sum Assured, Fund Value, 105% of the premium(s) paid. The Sum Assured for your policy will be as follows: Single Premium 125% of Single Premium Regular & Limited Premium (Age at Entry <= 55 years) 10 x annualized premium Regular & Limited Premium (Age at Entry > 55 years) 7 x annualized premium",3
1726,different plan option plan,The plan options available under HDFC Life Sampoorn Samridhi Plus are :- Endowment – policy terminates after the maturity payout Endowment with Whole Life – life cover continues after the maturity payout till 100 years of age,3
1727,guarantee benefit policy,"The Product offers two types of guaranteed benefits: 1. Guaranteed Additions – 3% to 5% of ‘Sum Assured on Maturity‘ accrue during first 5 policy years, payable at maturity or death, whichever is earlier, provided the policy is in force Policy Term Guaranteed Additions (% of Sum Assured on Maturity) 15 years to 19 years 3 % p.a. 20 years to 24 years 4 % p.a. >=25 years 5 % p.a. 2. Sum Assured on Maturity – 100% of 'Sum Assured on Maturity' is payable at maturity, provided the policy is in force.",3
1728,duration policy term case choose endowment endowment life option,"Policy Term is the period at the end of which the maturity benefit will be paid. One can choose a policy term of 15 to 40 years. In case of “Endowment” Option, the life insurance cover will cease after policy term. In case of “Endowment with Whole Life”, the life insurance cover shall continue even after the policy term, till the age of 100 years.",3
1729,plan acquire guarantee surrender value,The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid. The GSV shall be aggregate of: Percentage of total premiums paid Percentage of accrued bonuses and accrued guaranteed additions Please refer the sales brochure or contact your Relationship manager to know the percentage factors for GSV,3
1730,hdfc life cancer care policy,"HDFC Life brings to you a comprehensive Cancer Care plan that provides financial protection for both early and major stage of cancer with several unique features like: This is a plan that not only gives pay outs but also a waiver on premium for the next 3 policy years on diagnosis of early stage of cancer There is an increased benefit where the Sum insured under the policy increases every year under the Gold and Platinum option. Also, there is an income benefit under the Platinum option",3
1731,death benefit plan,HDFC Life Cancer Care plan aims to aid the expenses to survive through the dreaded disease like Cancer. Hence it has benefits linked to diagnosis and treatment of disease and no death benefit is payable.,3
1732,plan option available,There are 3 Plan Options available under HDFC Life Sampoorn Nivesh as mentioned below: 1. Classic Benefit 2. Classic Plus Benefit 3. Classic Waiver Benefit You can choose any one of the above options on inception based on your requirements. Please refer to the product brochure for more detailsand/or consult Relationship Manager.,3
1733,death benefit plan,"The Death Benefit will depend on the Benefit Option opted under the Plan on inception. In case of unfortunate demise of the life assured during the policy term, the nominee will be paid: Classic Benefit – Higher of Sum Assured or Fund Value Classic Plus Benefit – Sum Assured + Fund Value Classic Waiver Benefit – Sum Assured + Waiver of Premium till maturity + Fund Value on maturity This is subject to minimum payment of 105% of the total premiums paid. Please refer to product brochure for more details and/or consult Relationship Manager.",3
1734,happen premium pay,"In case the Policyholder has not paid the premium by the expiry of the grace period, he/she will have the following options: to revive the Policy within a period of 2 years from the date of discontinuance, or to completely withdraw from the Policy without any risk cover, or to convert the policy into paid-up policy (available only on discontinuance after completion of the 5 policy years) If you do not communicate to us on the above options, the following treatment will be applicable Discontinuance before completion of 5 years from commencement of the policy: Fund Value less applicable charges will be moved to ‘Discontinued Policy Fund (DPF)’.The proceeds from DPF will be paid out upon the completion of the lock-in period. Discontinuance on and after completion of the 5 years from commencement of the policy: Fund Value will be paid out to you. You have the option to revive a discontinued policy within two consecutive years from the date of discontinuance of the policy, subject to payment of all due & unpaid premiums and our underwriting policy.",3
1735,feature available hdfc life uday,The features available with HDFC Life Uday are : Easy Issuance on the basis of Declaration of Good Health (DOGH) Guaranteed Additions to boost your maturity value In-built Accidental Death Benefit in case of death due to an accident Auto-Cover Continuance even if you miss paying a premium,3
1736,minimum premium need pay order hdfc life uday policy,"HDFC Life Uday low ticket size which makes it affordable for customers from all income segments. The minimum premiums have been outlined below : Frequency of Premium Payment Minimum Installment Premium Maximum Installment Premium Annual Rs. 5,000 No limit2 Half-Yearly Rs. 2,500 Quarterly Rs. 1,250 Monthly Rs. 500 1The minimum premium amounts are exclusive of applicable service tax and education cess. 2The acceptance of any case is subject to Board approved underwriting policy. 3If you opt for the monthly premium frequency, three months premiums in advance on the date of commencement of policy shall be accepted, as a prerequisite to allow monthly mode of premium payment.",3
1737,miss premium,"We understand that you may not be in the best of financial health always. Keeping this in mind, we have incorporated the Auto Cover Continuance feature in HDFC Life Uday. Under this feature, for a reduced paid-up policy the full death benefit shall continue for a period of one year (Auto Cover Continuation period) from the date of first unpaid premium. Auto Cover Continuance applies only to the basic death benefit and not to the additional accidental death benefit. At the time of payment of death benefit during the Auto Cover Continuation period the due but unpaid premium shall not be deducted from the benefit payable. The basic death benefit payable during this one year shall be the higher of: Sum Assured on Death + Accrued Guaranteed Additions + Accrued Reversionary Bonus (if any) + Interim Bonus (if any) + Terminal Bonus(if any) 105% of Premiums paid During the auto cover continuance period, the additional accidental death benefit shall be reduced to paid-up Sum Assured on Death. The Guaranteed Additions and Reversionary Bonuses accrued till due date of first unpaid premium shall become payable on death and no further Guaranteed Additions or Reversionary Bonus shall accrue to the policy.",3
1738,policy acquire guarantee surrender value gsv,"It is advisable to continue your policy in order to enjoy full benefits of your policy. However, we understand that in certain circumstances you may want to surrender your policy.The policy will acquire a Guaranteed Surrender Value (GSV) provided 2 full years’ premium has been paid for premium payment term of less than 10 years and 3 full years’ premium have been paid for premium payment term of 10 years and above.The GSV shall be the aggregate of: Percentage of total premiums paid Percentage of accrued bonuses & accrued guaranteed additions Premiums will exclude any underwriting extra premiums and any taxes paid For details on GSV percentage (factors), please refer to the Product Brochure.",3
1739,loan hdfc life uday case need money emergency,Yes. You can take a policy loan under this policy provided that your policy has acquired a surrender value and subject to terms and conditions that the company may specify from time to time.,3
1740,minimum maximum age limit invest hdfc life uday,The age limits for HDFC Life Uday have been highlighted below : Minimum Entry Age 18 Years Maximum Entry Age 55 Years Minimum Maturity Age 30 Years Maximum Maturity Age 70 Years,3
1741,death benefit receive choose hdfc life uday,"On the unfortunate event of your death during the policy term, the nominee will receive the higher of : Sum Assured on Death + Accrued Guaranteed Additions + Accrued Reversionary Bonuses (if any) + Interim Bonus (if any) + Terminal Bonus (if any) 105% of Premiums paid The Sum Assured on Death shall be the higher of: Sum Assured on Maturity An absolute amount assured to be paid on death, which in this case, is equal to the Sum Assured on Maturity 10 times Annualised Premium for entry age up to 50 years and 7 times Annualized Premium for entry age greater than 50 years An additional benefit equal to 100% of ‘Sum Assured on Death’ will be payable in case of death due to an accident.",3
1742,discount choose high premium,"Yes. To reward you for your showing faith in the HDFC Life Uday policy, there is a High Sum Assured Rebate. The conditions are mentioned below : Sum Assured on Maturity(Rs) PPT 8 years PPT 10 years Less than 2,00,000 Nil Nil 2,00,000 to 4,99,999 5 2.5 5,00,000 or above 7.5 5",3
1743,policy term premium payment term option available hdfc life uday,"You have an option to select a Policy Term of 12 years or 15 years. For a 12 year term, the premium payment term is 8 years while for a 15 year term, you have the option of selecting a premium payment term of 8 years or 10 years.",3
1744,special product,"HDFC Life APP has benefits such as: Capital Guarantee of 101% - 135% - APP is a unit linked plan that provides you the upside of the equity markets. However, to protect you from the market downfall, you have the Assured Vesting Benefit of 101% -135%, depending on the Premium Paying Term and Policy Term combination. This means that your capital is completely protected from any downside Pension Multipliers – As a Loyalty benefit, Pension Multipliers would be added to the fund value every alternate year starting from the end of 11th policy year. These additions will be equivalent to 1% of average fund value for the immediate preceding two years, subject to the policy being in force and all premiums paid till date. Early start to boost your corpus – With APP you can start your retirement planning as early as 18 years. The earlier you start, you would gain from the power of compounding and be able to build a bigger corpus before your retirement Lower vesting age limits – The minimum vesting age of APP is 45 years, this would help you to plan for early retirement",3
1745,topup allow plan,There isn’t any provision of top-up premiums in this plan.,3
1746,step involve purchase policy quickly case travel time,"Taking you through the procedure and form filling - only KYC documents, signature on proposal form and payment instrument are required. You can also pay online through HDFC Bank NetBanking, Debit card or Credit card. This being a pension plan, you don’t need to go through any medicals. After your form is logged in, you would receive a verification call the next day. Once the verification call is closed with an affirmative from your end, your policy would be issued and the Policy Bond would be delivered to your Demat Account. This Demat Account is completely free of cost. Thus it would not take much time.",3
1747,not want wait till year retirement way,"This plan has a minimum vesting age of 45 years only, which would help to plan for an early retirement. You don’t need to wait till 60 years of age. However, once you have fixed your vesting age, it is recommended that you continue for the entire term.",3
1748,hdfc life assure pension plan,"The Assured Pension Plan is a Unit Linked Pension Plan recently launched by HDFC Life. This plan aims to help you plan for a steady income source for retirement. You can choose from a variety of Premium paying & policy term options as per your comfort and plan your retirement. HDFC Life APP provides you the benefit of equity participation with the comfort of a capital guarantee. To boost your fund value, you also have the pension multipliers that are added to your fund post 11th year.",3
1749,buy hdfc life assure pension plan,"One of the biggest challenges of planning for your retirement is to ensure that you have saved enough money during your working years that will take care of your expenses once you retire. Given the rising cost of living, increased life expectancy and inflation, it is always wise to invest in a Pension Plan. HDFC Life Assured Pension Plan can help you achieve your retirement goals by planning for it well in advance.",3
1750,hdfc life app ulip plan not choose fund plan,HDFC Life APP provides you a guarantee (between 101% -135%) of the premiums paid. This is why the choice of funds are predefined as per the Equity Backing Ratio and is not available for customised allocation by customers.,3
1751,exercise freelook option policy,"In case you are not agreeable to any of our terms or conditions, you have the option of returning the policy to HDFC Life stating the reasons thereof, within 15 days of receipt of the policy bond.",3
1752,choose annuity option,"You need to give a default option now, i.e., at the time of purchase of this policy. However, depending on your situation, you always have the option to change/ alter the annuity option at the time of maturity of the pension policy. HDFC Life will get in touch with you 3-6 months before the maturity of the policy and you can revisit your annuity choice options then. In case you don’t revert to HDFC Life at that point of time, the default annuity options chosen earlier would be considered and your annuity payments would commence. However, after commencement of annuity you won’t be able to make any further alterations.",3
1753,hdfc life easy health plan,"HDFC Life Easy Health is a fixed benefit, health insurance plan that provides coverage against Critical Illnesses, specified Surgeries and also provides Daily Hospital Cash Benefit in case of hospitalization. This cover will be available for a period of 5 years.",3
1754,exclusion product,"Unless expressly stated to the contrary in this Policy, HDFC Life will not make any payment for any claim in respect of any Life Assured if it is directly or indirectly caused by, arises from or is in any way attributable to any of the following: Treatment for congenital disease or deformity, including physical defects present from birth will not be covered by the policy. Hospitalization and/or surgery is/are not in accordance with the diagnosis and treatment of the condition for which the hospital confinement or surgery was required; Any condition with respect to the covered benefits, for which the insured had signs or symptoms, and/or was diagnosed, and/or received medical advice/treatment within the waiting period. Elective surgery or treatment which is not medically necessary; Weight reduction or weight improvement regardless of whether the same is caused (directly or indirectly) by a medical condition; Study and treatment of sleep apnoea; Routine eye tests, any dental treatment or surgery of cosmetic nature, extraction of impacted tooth/teeth, orthodontics or orthognathic surgery, or tempero-mandibular joint disorder except as necessitated by an accidental injury and warranting hospitalization Outpatient treatment Hospitalization and/or surgery relating to infertility or impotency, sex change or any treatment related to it, abortion, sterilization and contraception including any complications relating thereto; Hospitalization and/or surgery for treatment arising from pregnancy and it’s complications which shall include childbirth or miscarriage; Hospitalisation primarily for any purpose which in routine could have been carried out on an out-patient basis and which is not followed by an active treatment or intervention during the period of hospitalization. Experimental or unproven procedures or treatments, devices or pharmacological regimens of any description (not recognized by Indian Medical Council) or hospitalization for treatment under any system other than allopathy; Any mental or psychiatric condition including but not limited to insanity, mental or nervous breakdown / disorder, depression, dementia, or psychosomatic disorders. Alzheimer’s disease will also be excluded from all the covered benefits except Critical Illness. Convalescence, rest cure, sanatorium treatment, rehabilitation measures, respite care, long term nursing care or custodial care and general debility or exhaustion (run down condition) Directly or indirectly arising from alcohol, drug or unless taken in accordance to the dosage and duration as prescribed by the independent medical practitioner substance abuse and any illness or accidental physical injury which may be suffered after consumption of intoxicating substances, liquors or drugs; Directly or indirectly arising from or consequent upon war, invasion, acts of foreign enemies, hostilities (whether war be declared or not), civil war, terrorism, rebellion, active participation in strikes, riots or civil commotion, revolution, insurrection or military or usurped power and Sexually transmitted diseases or any treatment in the presence of HIV infection Acquired Cosmetic or plastic surgery except to the extent that such surgery is necessary for the repair of damage caused solely by accidental injuries, cancer or burns. Treatment of xanthelesema, , acne and alopecia; circumcision unless necessary for treatment of a disease or necessitated due to an accident Nuclear disaster, radioactive contamination and/or release of nuclear or atomic energy; Injury or illness caused by intentionally self-inflicted injuries; or any attempts of suicide while sane or insane; or deliberate exposure to exceptional danger (except in an attempt to save human life); Injury or illness caused by violation or attempted violation of the law, or resistance to arrest; or by active participation in an act with criminal intent. Injury or illness caused by professional sports, racing of any kind, scuba diving, aerial sports, activities such as hand-gliding, ballooning, and any other hazardous activities or sports unless agreed by special endorsement; Hospitalization where the Life Assured is a donor for any organ transplant; Any injury, sickness or disease received as a result of aviation, gliding or any form of aerial flight other than on a scheduled commercial airline as a bona fide passenger (whether fare paying or not), pilot or crew member Treatment to relieve symptoms caused by ageing, puberty, or other natural physiological cause, such as menopause and hearing loss caused by maturing or ageing. Artificial life maintenance, including life support machine use, where such treatment will not result in recovery or restoration of the previous state of health. Treatment of abnormalities, deformities, or Illnesses present only because they have been passed down through the generations of the family. Treatment for, or related to developmental problems, including Learning difficulties, such as dyslexia and behavioural problems, including Attention Deficit Hyperactivity Disorder (ADHD). In addition to the above, no Critical Illness Benefit will be payable for any of the following: Date of diagnosis within 90 days from date of commencement or reinstatement of cover Critical Illness Benefit, where death occurs within 30 days of the date of diagnosis Policy in the lapsed condition as on the date of diagnosis Any more than one claim in respect of Critical Illness Benefit Non-fulfilment of eligibility criteria for Critical Illness Benefit covered under the policy",3
